id,context,question,reponse_attendue,reponse_obtenue,context_idx
1,"Document Restreint - Interne & Partenaire Page Impact Social & Sociétal L’impact Social & Sociétal englobe toutes les actions de Davidson, que nous voulons de plus en plus nombreuses et impactantes, dans les domaines de la Qualité de Vie au Travail, de la Diversité & de l’Inclusion ainsi que nos externalités (positives idéalement) sur la Société au sens large. Qualité de vie et des conditions de travail - QVCT De quoi s’agit-il ? Cette notion englobe à la fois la santé physique et psychosociale des salarié·es ainsi que le cadre de travail défini par l’entreprise. Chez Davidson, nos engagements se traduisent par : la lutte active contre le harcèlement, la promotion d’une culture d’ouverture et de dialogue, l’adoption d’un comportement professionnel respectueux de chacun, le respect strict des règles d’hygiène et de sécurité , la protection de la vie privée et des données personnelles, le ",Quels sont les engagements de Davidson concernant la qualité de vie et des conditions de travail ?,"Davidson s'engage dans la lutte active contre le harcèlement, la promotion d’une culture d’ouverture et de dialogue, l'adoption d'un comportement professionnel respectueux, le respect des règles d'hygiène et de sécurité, et la protection de la vie privée et des données personnelles.",,0
2,"sionnel respectueux de chacun, le respect strict des règles d’hygiène et de sécurité , la protection de la vie privée et des données personnelles, le respect du droit à la déconnexion Quelques actions concrètes : Lutte contre le harcèlement Nous avons instauré un réseau de ""Relais harcèlement"" pour offrir un espace de parole confidentiel et sécurisé. En complément, plusieurs outils permettent de signaler des situations problématiques : o En interne : via l’adresse dédiée (ethics@davidson.fr) ou un formulaire spécifique ; o En externe : pour les candidat·e·s, client·e·s ou partenaires, grâce à un formulaire accessible en ligne : https://www.davidson.fr/contactez- nous?youare=snowden Enfin, nos équipes sont formées à reconnaître et combattre le sexisme ordinaire, avec des ateliers en réalité virtuelle pour le staff et un e-learning immersif pour les consultant(e)s. Santé mentale et physiqu",Quels moyens sont mis en place par l'organisation pour signaler des situations de harcèlement en interne et en externe ?,"En interne, les situations de harcèlement peuvent être signalées via une adresse dédiée (ethics@davidson.fr) ou un formulaire spécifique. En externe, un formulaire accessible en ligne est disponible pour les candidat·e·s, client·e·s ou partenaires.","Un réseau de ""Relais harcèlement"" a été instauré pour lutter contre le harcèlement, offrant un espace de parole confidentiel et sécurisé.",1
3,"le sexisme ordinaire, avec des ateliers en réalité virtuelle pour le staff et un e-learning immersif pour les consultant(e)s. Santé mentale et physique Nous organisons régulièrement des ateliers et webinars sur des thématiques variées : sophrologie, prévention des addictions, Troubles Musculo-Squelettiques (TMS), sommeil, nutrition ou encore sécurité routière. Pour mieux accompagner nos collaboratrices, nous avons aussi renforcé nos droits liés à la santé féminine, incluant une journée par mois pour les personnes atteintes d’endométriose ou de fibromes utérins. Document Restreint - Interne & Partenaire Équilibre vie pro/vie perso Davidson soutient activement l’équilibre des temps de vie, notamment pour les parents et les aidants. Chaque mois, nos consultant·e·s évaluent leur satisfaction en matière d’équilibre vie professionnelle/vie personnelle. En cas de score négatif pendant trois moi",Quels types d'activités Davidson organise-t-il pour aborder la santé mentale et physique des employés?,"Davidson organise des ateliers et webinars sur des thématiques comme la sophrologie, la prévention des addictions, les Troubles Musculo-Squelettiques (TMS), le sommeil, la nutrition et la sécurité routière.",,2
4,"s, nos consultant·e·s évaluent leur satisfaction en matière d’équilibre vie professionnelle/vie personnelle. En cas de score négatif pendant trois mois consécutifs, une alerte est immédiatement envoyée à la direction générale. Nous avons également noué des partenariats : • Avec Babilou, pour financer une quarantaine de places en crèche ; • Avec la plateforme des aidants , pour accompagner les collaborateur et collaboratrices concerné(e)s ; • De plus, une demi-journée de congé par mois est accordée aux parents d’enfants en situation de handicap. Semaine de la Qualité de vie au travail Afin de d’impulser des discussions et de relayer des actions auprès de toutes les sociétés du Groupe, nous avons fait de la semaine de la qualité de vie et des conditions de travail (QVCT) un temps fort, dont le programme 2024 se trouve ci-après : Pour en savoir plus sur toutes nos actions, nous vous inviton",Que se passe-t-il si un consultant a un score d'équilibre vie professionnelle/vie personnelle négatif pendant trois mois consécutifs ?,Une alerte est immédiatement envoyée à la direction générale.,,3
5," conditions de travail (QVCT) un temps fort, dont le programme 2024 se trouve ci-après : Pour en savoir plus sur toutes nos actions, nous vous invitons à parcourir notre Code de Conduite – le DA VIDSON CODE 4 – ainsi que nos Engagements RSE & Achats Responsables – le Butterfly Act. Document Restreint - Interne & Partenaire Diversité & Inclusion - D&I De quoi s’agit-il ? Chez Davidson, nous encourageons chacun à être soi-même, quel que soit son genre, son sexe, ses croyances ou sa situation de handicap. Cette liberté permet à nos salariés de s'épanouir pleinement et rend notre entreprise plus diverse, reflétant ainsi mieux les clients que nous servons. C’est pourquoi nous avons signé la Charte de la Diversité , dans laquelle nous nous engageons à: • Sensibiliser et former nos dirigeants, managers, et progressivement l’ensemble de nos collaborateurs aux enjeux de la non -discrimination et ",Quel objectif principal est poursuivi par Davidson concernant la diversité et l'inclusion au sein de l'entreprise?,"Chez Davidson, l'objectif est d'encourager chacun à être soi-même, indépendamment de son genre, sexe, croyances ou situation de handicap, pour favoriser l'épanouissement des salariés et mieux refléter les clients de l'entreprise.",,4
6,"ons à: • Sensibiliser et former nos dirigeants, managers, et progressivement l’ensemble de nos collaborateurs aux enjeux de la non -discrimination et de la diversité, notamment dans le recrutement, la formation, et la gestion des carrières ; • Appliquer le principe de non-discrimination à toutes les décisions managériales et aux différentes étapes de la gestion des ressources humaines ; • Représenter la diversité de la société française dans nos effectifs, à tous les niveaux de responsabilité, en valorisant les composantes culturelles, ethniques, et sociales ; • Communiquer sur nos engagements auprès de nos collaborateurs, clients, partenaires, et fournisseurs, pour les encourager à respecter et déployer ces principes ; • Favoriser un dialogue social constructif sur ces thématiques avec les représentants du personnel ; • Évaluer régulièrement nos progrès et partager les résultats, en int",Quel est l'un des objectifs concernant la gestion des ressources humaines mentionné dans le texte ?,Appliquer le principe de non-discrimination à toutes les décisions managériales et aux différentes étapes de la gestion des ressources humaines.,,5
7,"gue social constructif sur ces thématiques avec les représentants du personnel ; • Évaluer régulièrement nos progrès et partager les résultats, en interne comme en externe, pour rendre compte des actions mises en œuvre. Parmi tous les enjeux de diversité et d’inclusion, nous en avons identifié deux qui nous semblent particulièrement prioritaires : l’inclusion de personnes en situation de handicap et la mixité et l’égalité professionnelle entre les femmes et les hommes. Document Restreint - Interne & Partenaire L’inclusion des personnes en situation de handicap De quoi s’agit-il ? En France, la moitié de la population sera confrontée un jour à une situation de handicap dans sa vie. 12 millions de personnes sont par ailleurs actuellement en situation de handicap, soit 1 individu sur 6. Pourtant, le handicap étant principalement invisible, nous n’en avons pas toujours conscience. Dans le pi",Quels sont les deux enjeux de diversité et d'inclusion jugés prioritaires selon le texte ?,L'inclusion des personnes en situation de handicap et la mixité et l'égalité professionnelle entre les femmes et les hommes.,,6
8,"ituation de handicap, soit 1 individu sur 6. Pourtant, le handicap étant principalement invisible, nous n’en avons pas toujours conscience. Dans le pire des cas, nous pouvons mêmes être porteurs de stéréotypes et d’idées reçues, aboutissant à ce qu’aujourd’hui une personne handicapée a trois fois moins de chances que la moyenne d’être en emploi et est deux fois plus exposée au chômage. Quelques actions concrètes : Pour lutter contre cette injustice, et parce que nous sommes convaincus que la diversité est source de performance, Davidson s’engage pour l’inclusion de personnes en situation de handicap. En 2024, nous avons donc réalisé un Diagnostic Action avec l’AGEFIPH et le cabinet Atouts & Handicap afin de mieux cerner nos enjeux et nous aider à établir un plan d’actions avant de pouvoir créer une Convention Entreprise avec l’Agefiph, voire un Accord Entreprise (Mission handicap). Nous ",Quelle initiative a pris Davidson pour l'inclusion des personnes en situation de handicap?,Davidson a réalisé en 2024 un Diagnostic Action avec l'AGEFIPH et le cabinet Atouts & Handicap pour établir un plan d'actions pour l'inclusion des personnes en situation de handicap.,,7
9,"ider à établir un plan d’actions avant de pouvoir créer une Convention Entreprise avec l’Agefiph, voire un Accord Entreprise (Mission handicap). Nous avons également pris les 5 engagement suivants : Engagement 1 : Recruter et intégrer des travailleurs en situation de handicap Pour ce faire, nous avons mis en place des pratiques exemplaires et volontaristes pour le recrutement inclusif : • Collaboration avec des partenaires spécialisés comme Adecco, Cap Emploi et Défi RH pour identifier des talents, que ce soit pour des postes en interne ou chez nos clients ; • Publication de nos offres d’emploi sur la plateforme missionhandicap.fr. Engagement 2 : Assurer le maintien dans l’emploi et améliorer la qualité de vie Nous sommes mobilisés pour accompagner nos collaboratrices et collaborateurs dans la durée : • Outillage des managers pour détecter rapidement les situations nécessitant un soutien",Quels sont les partenaires avec lesquels l'entreprise collabore pour le recrutement inclusif des travailleurs en situation de handicap?,"L'entreprise collabore avec Adecco, Cap Emploi et Défi RH.",,8
10,"ompagner nos collaboratrices et collaborateurs dans la durée : • Outillage des managers pour détecter rapidement les situations nécessitant un soutien ; • Accompagnement individuel par nos référentes handicap, incluant des analyses ergonomiques via notre partenaire Équilibre Ergonomie ; • Mise en place de droits spécifiques, comme : o 1 500 € de chèques CESU par an pour les collaborateurs RQTH depuis janvier 2024 ; Document Restreint - Interne & Partenaire o 1/2 journée de congé par mois pour les parents d’enfants en situation de handicap ; o Accès prioritaire à une place en crèche , adaptée au temps de travail aménagé si nécessaire. Engagement 3 : Sensibiliser toutes et tous au handicap Nous renforçons nos actions de sensibilisation à travers : • Formation de tous les nouveaux managers au recrutement inclusif ; • Événements thématiques, notamment lors de la SEEPH, d’ Octobre Rose , de M",Que propose l'entreprise pour les collaborateurs RQTH à partir de janvier 2024 ?,L'entreprise propose 1 500 € de chèques CESU par an pour les collaborateurs RQTH à partir de janvier 2024.,,9
